HR2	HR3	NHR2	NHR3
136.00	85.00	21.00	44.00
136.00	85.00	16.00	44.00
136.00	85.00	14.00	44.00
136.00	85.00	15.00	44.00
136.00	85.00	10.00	44.00
136.00	85.00	36.00	44.00
135.60	85.00	41.00	44.00
135.00	85.00	20.00	44.00
135.00	85.00	4.00	44.00
135.00	85.00	40.00	44.00
135.00	85.00	40.00	44.00
135.00	85.00	30.00	44.00
135.00	85.00	5.00	44.00
135.00	85.00	8.00	44.00
135.00	85.00	56.00	44.00
135.00	85.00	100.00	44.00
135.00	85.00	97.00	44.00
135.00	85.00	30.00	44.00
135.00	85.00	6.00	44.00
134.00	85.00	50.00	43.80
134.00	85.00	27.00	43.50
134.00	85.00	29.00	43.30
134.00	85.00	52.50	43.00
134.00	85.00	19.00	43.00
134.00	85.00	12.00	43.00
134.00	85.00	10.00	43.00
134.00	85.00	8.00	43.00
134.00	85.00	52.00	43.00
134.00	85.00	20.00	43.00
133.50	85.00	21.00	43.00
133.00	85.00	370.00	43.00
133.00	85.00	14.00	43.00
133.00	85.00	10.00	43.00
133.00	85.00	26.50	43.00
133.00	85.00	12.00	43.00
133.00	85.00	22.00	43.00
132.80	85.00	20.30	43.00
132.10	85.00	18.00	43.00
132.00	85.00	18.00	43.00
132.00	85.00	18.00	43.00
132.00	85.00	16.00	43.00
132.00	85.00	13.00	43.00
132.00	85.00	21.50	43.00
132.00	85.00	16.00	43.00
132.00	85.00	28.00	43.00
132.00	85.00	16.50	43.00
132.00	85.00	39.00	43.00
132.00	85.00	15.00	43.00
132.00	85.00	14.00	43.00
132.00	85.00	18.00	43.00
132.00	85.00	64.50	43.00
132.00	85.00	24.00	43.00
132.00	85.00	34.00	43.00
131.50	85.00	8.00	43.00
131.00	85.00	7.00	43.00
131.00	85.00	20.00	43.00
131.00	84.90	32.00	43.00
131.00	84.50	8.00	43.00
131.00	84.40	20.50	43.00
131.00	84.00	18.00	43.00
131.00	84.00	20.00	43.00
130.50	84.00	27.00	42.90
130.50	84.00	36.00	42.60
130.30	84.00	16.00	42.50
130.00	84.00	16.00	42.50
130.00	84.00	16.00	42.50
130.00	84.00	10.00	42.50
130.00	84.00	20.00	42.30
130.00	84.00	29.00	42.20
130.00	84.00	22.50	42.20
130.00	84.00	85.00	42.00
130.00	84.00	113.00	42.00
130.00	84.00	29.00	42.00
130.00	84.00	18.00	42.00
130.00	84.00	16.00	42.00
130.00	84.00	36.00	42.00
130.00	84.00	25.50	42.00
130.00	84.00	134.00	42.00
130.00	84.00	40.00	42.00
130.00	84.00	30.50	42.00
130.00	84.00	17.00	42.00
130.00	84.00	15.00	42.00
130.00	84.00	20.00	42.00
130.00	84.00	284.00	42.00
130.00	84.00	49.00	42.00
130.00	84.00	14.00	42.00
130.00	84.00	40.00	42.00
130.00	84.00	248.00	42.00
130.00	84.00	40.00	42.00
130.00	84.00	48.00	42.00
130.00	84.00	32.00	42.00
130.00	84.00	34.00	42.00
130.00	84.00	24.00	42.00
130.00	84.00	34.00	42.00
130.00	84.00	26.00	42.00
130.00	84.00	32.00	42.00
130.00	84.00	197.30	42.00
130.00	84.00	28.00	42.00
