"","Consignees","Number.of.shipments","Number.of.US.ports","Number.of.shippers","Number.of.manufacturers","Number.of.sampled","Number.of.refused","Fraction.of.sampled","Fraction.of.refused.out.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","log.distance.consignee.US.port","coef.var.number.of.manufacturers.per.year","coef.var.number.of.shipments.per.year","total.weight.below.10.","Product.diversity","Inspected","Inspection.outcome","inspection_score","risk_score"
"135","Consignees",1222,2,18,17,80,44,0.065466448,0.55,0.06404964,0.999331018,1.260583502,0.708882826,0.888041801,0,0,0,0,0.000299774638865926,0.205541425261756
"136","Consignees",1219,2,8,8,31,0,0.025430681,0,0.006502313,0.962244557,1.562943207,0.446071286,0.350784354,0,0,0,0,0.00458262994574135,0.416061071557481
"137","Consignees",1197,5,41,38,141,0,0.117794486,0,0.027203871,0.972646539,1.91536747,0.874335639,1.147905851,0,1.941314296,0,0,4.10618928347494e-06,0.876397675493823
"138","Consignees",1195,7,25,23,60,0,0.050209205,0,0.056671409,0.981757988,2.539563046,0.806717826,1.182814244,0,0,0,0,0.00110021889985995,0.85720275578589
"139","Consignees",1191,6,16,18,76,0,0.063811923,0,0.018657633,0.985565401,2.744051095,0.799873577,0.746477493,0,0,0,0,0.00257136837242656,0.802297297778953
"140","Consignees",1185,22,31,27,180,4,0.151898734,0.022222222,0.09573618,0.766552224,3.397230763,0.390006442,0.690638294,0,2.098449118,0,0,0.0888860769329459,0.999958311920602
"141","Consignees",1183,8,55,44,141,8,0.119188504,0.056737589,0.06199469,0.909313517,3.239110956,0.967794149,0.991644412,0,0,0,0,4.5296170595074e-06,0.735387102748284
"142","Consignees",1178,7,58,51,147,15,0.124787776,0.102040816,0.373202125,0.997132779,2.432940849,0.331662479,0.347905164,0,0,0,0,1.78731826359917e-07,0.406525522958157
"143","Consignees",1174,7,9,9,15,0,0.012776831,0,0.022824025,1,2.248079341,0.642824347,0.122870344,0,0.921872762,0,0,0.069060593240134,0.99085601534625
"144","Consignees",1164,1,45,35,83,15,0.071305842,0.180722892,0.107039437,0.101253946,0.81981416,0.86672112,1.475864005,0,0,1,1,4.5349544900627e-06,0.231353497676098
