consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2009,inspected in 2009,bad inspection in 2009
Crystal Cove Seafood Corp.,2,1,1.0,0.9991012254975002,2,0.0,2.262570786673576,3.5573850766467583,NaN,NaN,3.977019775361641,0.0,0.0,0.40345007126623106,0.0,0.0,0.0,0.0,1.0,1.0
"Victory Seafood, Inc.",2,1,0.26470254494619166,0.1624574784128263,2,0.0,2.3979490755485386,3.233647824097412,NaN,NaN,3.188149991724003,0.0,0.0,0.5779183849885146,0.0,0.0,0.0,0.0,0.0,0.0
"Keys Fisheries, Inc.",1,1,1.0,0.12640695283747108,1,0.0,2.880010372043851,3.5908927291902097,NaN,NaN,3.0791812460476247,0.0,0.0,-0.0,0.0,0.3010299956639812,0.0,1.0,0.0,0.0
"Pacific Seafood Co., Inc.",1,1,1.0,0.019112415251643537,1,1.0,1.4569252486074185,3.2442635942872595,NaN,NaN,2.258725856358442,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tampa Bay Fisheries, Inc.",1,1,1.0,1.5010193614685505,1,0.0,1.9014679891688222,2.6098709776530233,NaN,NaN,4.1537965778761,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,1.0
Limson Trading,1,1,1.0,0.191124047177308,1,0.0,1.4569252486074185,3.2442635942872595,NaN,NaN,3.258725616994585,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim-Seng Company,1,1,0.0,0.10533912736455925,1,0.0,0.7278878341378662,0.0,NaN,NaN,3.0,0.0,0.0,-0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0
Fanco Trading Company,1,1,1.0,1.777454091707212,1,0.0,1.7667016155589197,3.359855582901152,NaN,NaN,4.227208676222148,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glacier Cold Storage Ltd,2,2,1.0,1.5825268280059703,1,0.0,0.7637788801017348,3.557623915228723,NaN,NaN,4.17676136487367,0.0,0.0,0.689362840464809,0.0,0.3010299956639812,0.0,0.0,0.0,0.0
Preferred -Washington Blvd,1,1,1.0,1.6857145617027993,1,0.0,NaN,NaN,NaN,NaN,4.204194322079737,0.0,0.0,-0.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.0
"Golden Harvest, Inc.",1,1,1.0,0.14515731750836264,1,0.0,1.3448234467226854,3.519089128787371,NaN,NaN,3.139249217571607,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
