PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
03003	18	1	4.00	0.00
03R801	15	1	4.00	0.00
03R845	31	1	4.00	0.00
03R847	33	1	4.00	0.00
04019U	31	1	4.00	0.00
04839	02	2	4.00	0.00
04842H	31	1	4.00	0.00
04R839	01	1	4.00	0.00
04R854	83	3	4.00	0.00
09006A	11	1	4.00	0.00
09803E	13	1	4.00	0.00
09R800	53	3	4.00	0.00
09R839	14	1	4.00	0.00
18R835	92	1	4.00	0.00
21002	84	1	4.00	0.00
21008A	01	1	4.00	0.00
21R800	15	1	4.00	0.00
21R801	92	3	4.00	0.00
29R824	86	1	4.00	0.00
29R829	02	1	4.00	0.00
41B800	83	1	4.00	0.00
42845B	92	2	4.00	0.00
42B800	14	2	4.00	0.00
42R801	92	1	4.00	0.00
42R833	33	1	4.00	0.00
45B800	14	2	4.00	0.00
45R800	33	1	4.00	0.00
46832	15	1	4.00	0.00
48R800	17	1	4.00	0.00
52832	31	2	4.00	0.00
53001C	13	1	4.00	0.00
56008L	43	1	4.00	0.00
56014	33	1	4.00	0.00
71005A	31	1	4.00	0.00
71V017	14	1	4.00	0.00
81845R	17	1	4.00	0.00
81R800	02	1	4.00	0.00
81R801	17	1	4.00	0.00
82009	31	1	4.00	0.00
82845B	95	1	4.00	0.00
82R824	83	1	4.00	0.00
82R841	92	1	4.00	0.00
83001A	83	1	4.00	0.00
83811	84	1	4.00	0.00
84R816	84	2	4.00	0.00
86008	84	1	4.00	0.00
86R876	13	2	4.00	0.00
88D195	31	8	4.00	0.00
88D216	31	8	4.00	0.00
88R019	95	1	4.00	0.00
88R833	84	4	4.00	0.00
88R834	83	1	4.00	0.00
96R833	21	4	4.00	0.00
96T800	15	1	4.00	0.00
04018	21	15	4.10	0.00
71S012	13	7	4.10	0.00
03037B	33	5	4.50	0.00
04019A	95	1	4.50	0.00
48001	92	4	4.50	0.00
56D016	31	1	4.50	0.00
71001A	13	3	4.50	0.00
71003K	01	3	4.50	0.00
71R870	33	3	4.50	0.00
84R800	13	2	4.50	0.00
88D189	31	9	4.50	0.00
88D256	31	9	4.50	0.00
03R859	52	36	4.90	0.00
96R800	52	15	4.90	0.00
03842D	92	1	5.00	0.00
03F100	01	2	5.00	0.00
03R859	43	1	5.00	0.00
03S005	53	32	5.00	0.00
04019X	84	1	5.00	0.00
04F800	84	2	5.00	0.00
09811	13	1	5.00	0.00
09R800	13	1	5.00	0.00
18004	02	3	5.00	0.00
18029B	83	3	5.00	0.00
18029E	84	2	5.00	0.00
18R831	84	1	5.00	0.00
21003	12	1	5.00	0.00
21008	18	1	5.00	0.00
21008X	83	1	5.00	0.00
21008X	92	4	5.00	0.00
21844	33	2	5.00	0.00
29001	83	1	5.00	0.00
29001	95	2	5.00	0.00
42007	84	2	5.00	0.00
42R833	83	1	5.00	0.00
46832	95	2	5.00	0.00
46D800	84	2	5.00	0.00
52832P	31	2	5.00	0.00
56008X	51	2	5.00	0.00
56D015	83	1	5.00	0.00
56R011	15	1	5.00	0.00
56R801	17	1	5.00	0.00
56R833	83	1	5.00	0.00
71001	83	1	5.00	0.00
71001B	84	1	5.00	0.00
71003J	13	1	5.00	0.00
71007	83	1	5.00	0.00
71009	43	1	5.00	0.00
71V800	84	2	5.00	0.00
82R800	53	1	5.00	0.00
83003	12	1	5.00	0.00
84R800	17	6	5.00	0.00
85014C	96	1	5.00	0.00
86001	53	2	5.00	0.00
96R831	83	1	5.00	0.00
96R833	52	14	5.00	0.00
98T800	02	1	5.00	0.00
99R242	92	2	5.00	0.00
09844E	21	9	5.10	0.00
82818	84	4	5.30	0.00
96T800	43	5	5.30	0.00
03847	53	7	5.50	0.00
21004	83	2	5.50	0.00
29R824	84	2	5.50	0.00
41B800	92	3	5.50	0.00
46D800	17	2	5.50	0.00
68001	21	8	5.50	0.00
68R800	18	5	5.50	0.00
71003B	14	5	5.50	0.00
71004A	84	1	5.50	0.00
71005	31	2	5.50	0.00
71V017	92	3	5.50	0.00
88D165	31	11	5.50	0.00
88D175	31	11	5.50	0.00
88D200	31	11	5.50	0.00
88D201	31	11	5.50	0.00
88D212	31	11	5.50	0.00
88D220	31	11	5.50	0.00
88D228	31	11	5.50	0.00
88D241	31	11	5.50	0.00
21R824	43	1	5.60	0.00
03842D	84	7	5.80	0.00
03R859	33	11	5.80	0.00
61R800	92	3	5.80	0.00
03S003	13	59	5.90	0.00
03037D	83	1	6.00	0.00
03803A	15	1	6.00	0.00
03803B	43	1	6.00	0.00
03842C	86	1	6.00	0.00
03F098	92	2	6.00	0.00
03F110	86	2	6.00	0.00
03F841	12	1	6.00	0.00
03R843	96	1	6.00	0.00
03S003	84	2	6.00	0.00
04018	15	1	6.00	0.00
04R800	95	3	6.00	0.00
07R279	31	1	6.00	0.00
07R800	17	3	6.00	0.00
07R801	31	1	6.00	0.00
09006B	95	1	6.00	0.00
09808	13	1	6.00	0.00
09844F	14	1	6.00	0.00
