"","Operation Date","Sum of Hours","Hours Spent","PAC","Operation Code","Work Accomplishment ID","Emp Person ID","Count of Operations","Plan PAC","Plan Hours","Total Hours Spent","Operation Date FY"
"1","2015/07/09 00:00:00","15","","","","7999110","","","","","",""
"1","2015/07/09 00:00:00","32.5","","","","7910391","","","","","",""
"1","2015/07/15 00:00:00","4.5","","","","8004893","","","","","",""
"1","2015/07/16 00:00:00","1","","","","8049090","","","","","",""
"1","2015/07/16 00:00:00","4","","","","8049098","","","","","",""
"1","2015/07/16 00:00:00","5","","","","7622576","","","","","",""
"1","2015/07/16 00:00:00","5","","","","8062910","","","","","",""
"1","2015/07/16 00:00:00","44","","","","7939665","","","","","",""
"1","2015/07/17 00:00:00","0.2","","","","7998577","","","","","",""
"1","2015/07/22 00:00:00","4","","","","8049099","","","","","",""
"1","2015/07/23 00:00:00","2","","","","7936324","","","","","",""
"1","2015/07/23 00:00:00","3","","","","7627128","","","","","",""
"1","2015/07/23 00:00:00","4","","","","8049087","","","","","",""
"1","2015/07/23 00:00:00","4","","","","8049104","","","","","",""
"1","2015/07/23 00:00:00","10","","","","7627139","","","","","",""
"1","2015/07/23 00:00:00","10","","","","8062919","","","","","",""
"1","2015/07/23 00:00:00","16","","","","7969595","","","","","",""
"1","2015/07/24 00:00:00","1","","","","7998614","","","","","",""
"1","2015/07/24 00:00:00","10","","","","8049115","","","","","",""
"1","2015/07/28 00:00:00","1","","","","8052406","","","","","",""
"1","2015/07/28 00:00:00","10","","","","8049116","","","","","",""
"1","2015/07/29 00:00:00","5","","","","8049086","","","","","",""
"1","2015/07/30 00:00:00","1","","","","8017178","","","","","",""
"1","2015/07/30 00:00:00","1","","","","8049093","","","","","",""
"1","2015/07/30 00:00:00","2","","","","8049088","","","","","",""
"1","2015/07/30 00:00:00","2","","","","8049107","","","","","",""
"1","2015/07/30 00:00:00","6","","","","8049101","","","","","",""
"1","2015/07/30 00:00:00","8","","","","8028671","","","","","",""
"1","2015/07/31 00:00:00","1","","","","7998626","","","","","",""
"1","2015/08/05 00:00:00","3","","","","8049110","","","","","",""
"1","2015/08/06 00:00:00","1","","","","8052410","","","","","",""
"1","2015/08/06 00:00:00","2","","","","8029877","","","","","",""
"1","2015/08/06 00:00:00","8","","","","8030191","","","","","",""
"1","2015/08/06 00:00:00","8","","","","8110178","","","","","",""
"1","2015/08/06 00:00:00","10","","","","7627140","","","","","",""
"1","2015/08/06 00:00:00","30","","","","8086044","","","","","",""
"1","2015/08/08 00:00:00","5","","","","7757877","","","","","",""
"1","2015/08/12 00:00:00","1","","","","8030086","","","","","",""
"1","2015/08/12 00:00:00","1","","","","8110224","","","","","",""
"1","2015/08/13 00:00:00","2","","","","8028703","","","","","",""
"1","2015/08/13 00:00:00","2","","","","8032872","","","","","",""
"1","2015/08/13 00:00:00","8","","","","8110216","","","","","",""
"1","2015/08/13 00:00:00","30","","","","8086047","","","","","",""
"1","2015/08/20 00:00:00","4","","","","8032898","","","","","",""
"1","2015/08/20 00:00:00","8","","","","8110240","","","","","",""
"1","2015/08/20 00:00:00","15","","","","8086052","","","","","",""
"1","2015/08/20 00:00:00","30","","","","8129558","","","","","",""
"1","2015/08/27 00:00:00","1","","","","8042406","","","","","",""
"1","2015/08/27 00:00:00","15","","","","7677938","","","","","",""
"1","2015/09/03 00:00:00","1","","","","8042415","","","","","",""
"1","2015/09/04 00:00:00","8","","","","8015418","","","","","",""
"1","2015/09/09 00:00:00","1","","","","8078814","","","","","",""
"1","2015/09/10 00:00:00","1","","","","8007430","","","","","",""
"1","2015/09/10 00:00:00","2","","","","8042219","","","","","",""
"1","2015/09/10 00:00:00","2","","","","8130807","","","","","",""
"1","2015/09/10 00:00:00","10","","","","8130765","","","","","",""
"1","2015/09/11 00:00:00","2","","","","8130821","","","","","",""
"1","2015/09/11 00:00:00","6","","","","8130781","","","","","",""
"1","2015/09/11 00:00:00","10","","","","8017136","","","","","",""
"1","2015/09/16 00:00:00","10","","","","8130767","","","","","",""
"1","2015/09/17 00:00:00","1","","","","8042223","","","","","",""
"1","2015/09/17 00:00:00","1","","","","8130870","","","","","",""
"1","2015/09/17 00:00:00","2","","","","8087878","","","","","",""
"1","2015/09/17 00:00:00","2","","","","8130782","","","","","",""
"1","2015/09/17 00:00:00","2","","","","8130840","","","","","",""
"1","2015/09/17 00:00:00","4","","","","7627129","","","","","",""
"1","2015/09/17 00:00:00","4","","","","8077009","","","","","",""
"1","2015/09/17 00:00:00","10","","","","8110547","","","","","",""
"1","2015/09/18 00:00:00","5","","","","8130771","","","","","",""
"1","2015/09/24 00:00:00","1","","","","8042227","","","","","",""
"1","2015/09/24 00:00:00","1","","","","8130845","","","","","",""
"1","2015/09/24 00:00:00","2","","","","8130874","","","","","",""
"1","2015/09/24 00:00:00","4","","","","8130785","","","","","",""
"1","2015/09/24 00:00:00","6.1","","","","8047097","","","","","",""
"1","2015/09/24 00:00:00","10","","","","8130777","","","","","",""
"1","2015/09/25 00:00:00","3","","","","7627138","","","","","",""
"1","2015/10/01 00:00:00","1","","","","7627135","","","","","",""
"1","2015/10/08 00:00:00","20","","","","8177540","","","","","",""
"1","2015/10/14 00:00:00","2","","","","8143269","","","","","",""
"1","2015/10/15 00:00:00","0.5","","","","8152135","","","","","",""
"1","2015/10/15 00:00:00","4","","","","8144921","","","","","",""
"1","2015/10/15 00:00:00","30","","","","8177547","","","","","",""
"1","2015/10/21 00:00:00","10","","","","8177568","","","","","",""
"1","2015/10/22 00:00:00","1.5","","","","8090943","","","","","",""
"1","2015/10/22 00:00:00","2","","","","8152142","","","","","",""
"1","2015/10/22 00:00:00","4","","","","8104138","","","","","",""
"1","2015/10/22 00:00:00","6","","","","8151972","","","","","",""
"1","2015/10/22 00:00:00","10","","","","8017183","","","","","",""
"1","2015/10/22 00:00:00","30","","","","8177552","","","","","",""
"1","2015/10/27 00:00:00","20","","","","8177557","","","","","",""
"1","2015/10/29 00:00:00","1","","","","8151987","","","","","",""
"1","2015/10/29 00:00:00","1","","","","8152148","","","","","",""
"1","2015/10/29 00:00:00","1","","","","8164035","","","","","",""
"1","2015/10/29 00:00:00","1.5","","","","8143345","","","","","",""
"1","2015/10/29 00:00:00","4","","","","8144986","","","","","",""
"1","2015/10/29 00:00:00","10","","","","8134689","","","","","",""
"1","2015/10/29 00:00:00","34","","","","8146226","","","","","",""
"1","2015/10/30 00:00:00","5","","","","8044111","","","","","",""
"1","2015/11/05 00:00:00","1","","","","8164061","","","","","",""
"1","2015/11/05 00:00:00","1","","","","8210361","","","","","",""
"1","2015/11/05 00:00:00","2","","","","8146235","","","","","",""
"1","2015/11/05 00:00:00","2","","","","8153131","","","","","",""
"1","2015/11/05 00:00:00","2","","","","8206823","","","","","",""
"1","2015/11/05 00:00:00","3","","","","8210348","","","","","",""
"1","2015/11/05 00:00:00","4","","","","8210380","","","","","",""
"1","2015/11/05 00:00:00","15","","","","8153321","","","","","",""
"1","2015/11/05 00:00:00","15","","","","8210399","","","","","",""
"1","2015/11/11 00:00:00","4","","","","8210383","","","","","",""
"1","2015/11/11 00:00:00","10","","","","8210404","","","","","",""
"1","2015/11/12 00:00:00","1","","","","8210374","","","","","",""
"1","2015/11/12 00:00:00","2","","","","8206534","","","","","",""
"1","2015/11/12 00:00:00","3","","","","8146259","","","","","",""
"1","2015/11/12 00:00:00","5","","","","8196059","","","","","",""
"1","2015/11/18 00:00:00","5","","","","8210418","","","","","",""
"1","2015/11/19 00:00:00","2","","","","8206571","","","","","",""
"1","2015/11/19 00:00:00","3","","","","8210379","","","","","",""
"1","2015/11/19 00:00:00","4","","","","8210389","","","","","",""
"1","2015/11/19 00:00:00","20","","","","8191189","","","","","",""
"1","2015/11/20 00:00:00","3","","","","8210423","","","","","",""
"1","2015/11/26 00:00:00","5","","","","8210430","","","","","",""
"1","2015/12/02 00:00:00","10","","","","8210437","","","","","",""
"1","2015/12/03 00:00:00","1","","","","8185311","","","","","",""
"1","2015/12/03 00:00:00","6","","","","8251716","","","","","",""
"1","2015/12/03 00:00:00","8","","","","8270385","","","","","",""
"1","2015/12/04 00:00:00","10","","","","8274446","","","","","",""
"1","2015/12/08 00:00:00","6","","","","8257200","","","","","",""
"1","2015/12/09 00:00:00","8","","","","8251734","","","","","",""
"1","2015/12/09 00:00:00","8.8","","","","8235061","","","","","",""
"1","2015/12/09 00:00:00","16","","","","8270414","","","","","",""
"1","2015/12/10 00:00:00","1","","","","8248058","","","","","",""
"1","2015/12/10 00:00:00","8","","","","8168914","","","","","",""
"1","2015/12/10 00:00:00","30","","","","8270499","","","","","",""
"1","2015/12/16 00:00:00","10","","","","8210453","","","","","",""
"1","2015/12/17 00:00:00","1","","","","8248072","","","","","",""
"1","2015/12/17 00:00:00","10","","","","8177576","","","","","",""
"1","2015/12/17 00:00:00","16","","","","8235297","","","","","",""
"1","2015/12/17 00:00:00","34","","","","8211423","","","","","",""
"1","2016/01/08 00:00:00","6","","","","8196959","","","","","",""
"1","2016/01/14 00:00:00","2","","","","8228161","","","","","",""
"1","2016/01/14 00:00:00","3","","","","8282834","","","","","",""
"1","2016/01/14 00:00:00","4","","","","8196966","","","","","",""
"1","2016/01/14 00:00:00","4","","","","8226664","","","","","",""
"1","2016/01/14 00:00:00","10.5","","","","8201408","","","","","",""
"1","2016/01/14 00:00:00","30","","","","8321661","","","","","",""
"1","2016/01/19 00:00:00","1","","","","8282991","","","","","",""
"1","2016/01/20 00:00:00","6","","","","8321652","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8199124","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8281818","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8283079","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8295705","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8371281","","","","","",""
"1","2016/01/21 00:00:00","1","","","","8377934","","","","","",""
"1","2016/01/21 00:00:00","4","","","","8226661","","","","","",""
"1","2016/01/21 00:00:00","10","","","","8198640","","","","","",""
"1","2016/01/21 00:00:00","30","","","","8321675","","","","","",""
"1","2016/01/28 00:00:00","0.1","","","","8377936","","","","","",""
"1","2016/01/28 00:00:00","1","","","","8281829","","","","","",""
"1","2016/01/28 00:00:00","1","","","","8321690","","","","","",""
"1","2016/01/28 00:00:00","1","","","","8371335","","","","","",""
"1","2016/01/28 00:00:00","1","","","","8371348","","","","","",""
"1","2016/01/28 00:00:00","2","","","","8281807","","","","","",""
"1","2016/01/28 00:00:00","4","","","","8226657","","","","","",""
"1","2016/01/28 00:00:00","5","","","","8321678","","","","","",""
"1","2016/01/28 00:00:00","20","","","","8321689","","","","","",""
"1","2016/01/28 00:00:00","79.3","","","","8287074","","","","","",""
"1","2016/01/29 00:00:00","4","","","","8366553","","","","","",""
"1","2016/02/04 00:00:00","0.1","","","","8377937","","","","","",""
"1","2016/02/04 00:00:00","1","","","","8199127","","","","","",""
"1","2016/02/04 00:00:00","1","","","","8295532","","","","","",""
"1","2016/02/04 00:00:00","1","","","","8371343","","","","","",""
"1","2016/02/04 00:00:00","1","","","","8402376","","","","","",""
"1","2016/02/04 00:00:00","1","","","","8403348","","","","","",""
"1","2016/02/04 00:00:00","2","","","","8366564","","","","","",""
"1","2016/02/04 00:00:00","5","","","","8403314","","","","","",""
"1","2016/02/04 00:00:00","10","","","","8394847","","","","","",""
"1","2016/02/04 00:00:00","12","","","","8403469","","","","","",""
"1","2016/02/05 00:00:00","1","","","","8281648","","","","","",""
"1","2016/02/10 00:00:00","1","","","","8295554","","","","","",""
"1","2016/02/10 00:00:00","1","","","","8403365","","","","","",""
"1","2016/02/10 00:00:00","1","","","","8413002","","","","","",""
"1","2016/02/10 00:00:00","10","","","","8371376","","","","","",""
"1","2016/02/11 00:00:00","2","","","","8281668","","","","","",""
"1","2016/02/11 00:00:00","5","","","","7627134","","","","","",""
"1","2016/02/12 00:00:00","1","","","","8295591","","","","","",""
"1","2016/02/12 00:00:00","1","","","","8402388","","","","","",""
"1","2016/02/12 00:00:00","1","","","","8402399","","","","","",""
