PAC,PAF,OPCODE,ACCORG,ACC2011,PLAN2011,ACC2012,PLAN2012,ACC2013,PLAN2013,ACC2014,PLAN2014,ACC2015,PLAN2015
03F098,MIC,43,NRL,1811.5,4945,,,,,,,,
03F098,MIC,43,PRL-NW,284.4,625,,,,,,,,
03F098,MIC,43,PRL-SW,3902.8,960,,,,,,,,
03F098,MIC,43,SRL,1423.4,4325,,,,,,,,
03F098,PAR,41,SRL,39,7250,,,,,,,,
03F098,PAR,43,SRL,572,4325,,,,,,,,
03F098,,33,BLT-DO,12,9,,,,,,,,
03F098,,33,DET-DO,76.9,207,,,,,,,,
03F098,,33,FLA-DO,496.9,333,,,,,,,,
03F098,,33,LOS-DO,151,75,,,,,,,,
03F098,,33,NWE-DO,12,24,,,,,,,,
03F098,,33,NYK-DO,266.9,345,,,,,,,,
03F098,,33,PHI-DO,20,18,,,,,,,,
03F098,,33,SEA-DO,30.3,111,,,,,,,,
03F098,,33,SWI-DO,1860.7,1830,,,,,,,,
03F811,,12,ATL-DO,,,56,10500,,,,,,
03F812,,12,ATL-DO,,,60.5,870,,,,,,
03F830,MIC,41,ARL,30,5135,,,,,,,,
03F830,MIC,41,NRL,,,16,384,,,,,,
03F830,MIC,41,PRL-SW,45,1536,,,,,,,,
03F830,MIC,41,SRL,88.5,12193,,,,,,,,
03F830,MIC,41,WEAC,,,113,584,,,,,,
03F830,,12,CHI-DO,40,1600,,,,,,,,
03F830,,12,NOL-DO,40,1600,,,,,,,,
03F830,,12,NWE-DO,32,3000,,,,,,,,
03F830,,12,SEA-DO,6,4600,,,,,,,,
03F830,,31,ATL-DO,26,2720,,,,,,,,
03F830,,31,CHI-DO,26,640,,,,,,,,
03F830,,31,CIN-DO,0.7,2920,,,,,,,,
03F830,,31,DAL-DO,52,1480,,,,,,,,
03F830,,31,LOS-DO,31,1520,,,,,,,,
03F830,,31,NWE-DO,,,64,1000,,,,,,
03F830,,31,NYK-DO,8,800,,,,,,,,
03R233,,11,SEA-DO,52,60,,,,,,,,
03R233,,92,MIN-DO,3,40,,,,,,,,
03R233,,92,NWJ-DO,34,40,,,,,,,,
03R233,,92,ORAHQ,4,153,,,,,,,,
03R233,,92,SAN-DO,5,40,,,,,,,,
03R320,,92,ARL,,,,,,,396,780,553.1,780
