PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,03844,599.00,79.00,DET-DO
2011,2011,03844,616.00,248.00,NYK-DO
2011,2011,03844,700.00,179.00,SAN-DO
2011,2011,03844,728.00,743.40,SWI-DO
2011,2011,03844,784.00,38.50,NWE-DO
2011,2011,03844,835.00,300.90,SEA-DO
2011,2011,03844,840.00,93.50,LOS-DO
2011,2011,03844,884.00,596.10,BLT-DO
2011,2011,03844,946.00,417.60,NWE-DO
2011,2011,03844,1105.00,763.50,SAN-DO
2011,2011,03844,1211.00,2138.10,FLA-DO
2011,2011,03844,1222.00,1210.50,SEA-DO
2011,2011,03844,1379.00,1396.30,NYK-DO
2011,2011,03844,1467.00,1424.60,WEAC
2011,2011,03844,1565.00,1596.90,LOS-DO
2011,2011,03844,1768.00,2414.50,NWE-DO
2011,2011,03844,2223.00,1902.90,NYK-DO
2011,2011,03844,3128.00,1377.10,ARL
2011,2011,03844,3172.00,2214.10,FLA-DO
2011,2011,03844,4641.00,6227.10,LOS-DO
2011,2011,03844,5101.00,417.40,PRL-NW
2011,2011,03844,15265.00,9253.60,NRL
2011,2011,03844,17688.00,278.00,SRL
2011,2011,03844,19622.00,6736.50,PRL-SW
2011,2011,03847H,5.00,13.00,SJN-DO
2011,2011,03847H,10.00,4.00,ATL-DO
2011,2011,03847H,10.00,41.00,CHI-DO
2011,2011,03847H,10.00,32.00,FLA-DO
2011,2011,03847H,15.00,12.00,BLT-DO
2011,2011,03847H,15.00,46.70,PHI-DO
2011,2011,03847H,20.00,21.00,CIN-DO
2011,2011,03847H,20.00,45.00,DET-DO
2011,2011,03847H,20.00,34.50,NWE-DO
2011,2011,03847H,20.00,12.50,NYK-DO
2011,2011,03847H,25.00,33.50,MIN-DO
2011,2011,03847H,30.00,3.00,DAL-DO
2011,2011,03847H,30.00,202.00,SAN-DO
2011,2011,03847H,35.00,26.00,LOS-DO
2011,2011,03847H,44.00,8.50,ARL
2011,2011,03847H,79.00,204.00,SJN-DO
2011,2011,03847H,97.00,203.20,PRL-SW
2011,2011,03847H,112.00,113.80,NRL
2011,2011,03847H,136.00,216.00,CHI-DO
2011,2011,03847H,145.00,191.00,KAN-DO
2011,2011,03847H,145.00,146.00,NOL-DO
2011,2011,03847H,167.00,49.50,ATL-DO
2011,2011,03847H,167.00,216.50,BLT-DO
2011,2011,03847H,167.00,6.00,DEN-DO
2011,2011,03847H,175.00,337.50,NWJ-DO
2011,2011,03847H,184.00,471.00,FLA-DO
2011,2011,03847H,189.00,408.90,PHI-DO
2011,2011,03847H,233.00,301.00,CIN-DO
2011,2011,03847H,268.00,548.80,DET-DO
2011,2011,03847H,281.00,416.00,NWE-DO
2011,2011,03847H,298.00,375.00,NYK-DO
